,name,rating,reviews,ctype,hq,old,employees
14,Huawei Technolog...,3.9,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 88 more",20 years old,5k-10k Employees (India)
15,Torrent Pharmace...,4.0,(1.8k Reviews),Public,"Ahmedabad,Gujrat + 88 more",51 years old,10k-50k Employees (India)
16,Tractors and Far...,4.1,(1.8k Reviews),Public,"Chennai,Tamil Nadu + 137 more",62 years old,5k-10k Employees (India)
17,RSPL Group,4.1,(1.8k Reviews),Private,"Mumbai,Maharashtra + 148 more",35 years old,1k-5k Employees (India)
18,Ceat Tyres,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 96 more",64 years old,5k-10k Employees (India)
19,State Street Syn...,3.8,(1.8k Reviews),Private,Mumbai + 12 more,18 years old,501-1k Employees (India)
20,Ekart Logistics,4.2,(1.8k Reviews),Private,"San Francisco,California + 394 more",13 years old,5k-10k Employees (India)
21,ITC Infotech In...,3.6,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 42 more",22 years old,5k-10k Employees (India)
22,Tata AIA Life In...,4.0,(1.8k Reviews),Private,"Mumbai,Maharashtra + 206 more",21 years old,10k-50k Employees (India)
23,ACC,4.0,(1.8k Reviews),Public,"Mumbai,Maharashtra + 175 more",86 years old,5k-10k Employees (India)
24,RBL Bank,3.8,(1.8k Reviews),Public,"Mumbai,Maharashtra + 179 more",79 years old,10k-50k Employees (India)
25,Tata Teleservice...,4.2,(1.8k Reviews),Public,"Mumbai,Maharashtra + 150 more",26 years old,201-500 Employees (India)
26,Publicis Sapien...,3.7,(1.8k Reviews),Private,"New York,New York + 14 more",32 years old,10k-50k Employees (India)
27,PNB MetLife,3.7,(1.7k Reviews),Private,"Mumbai,Maharashtra + 241 more",21 years old,5k-10k Employees (India)
28,Dabur,4.1,(1.7k Reviews),Public,"Ghaziabad,Uttar Pradesh + 197 more",138 years old,5k-10k Employees (India)
29,Capita,3.9,(1.8k Reviews),Private,"Indore,Madhya Pradesh + 16 more",17 years old,1k-5k Employees (India)
0,Rivigo,3.8,(1.7k Reviews),Private,"Gurgaon,Haryana + 146 more",8 years old,1k-5k Employees (India)
1,KPIT Technologie...,3.6,(1.7k Reviews),Public,"Pune,Maharashtra + 21 more",32 years old,5k-10k Employees (India)
2,Dilip Buildcon,4.1,(1.7k Reviews),Public,"Bhopal,Madhya Pradesh + 141 more",35 years old,10k-50k Employees (India)
3,Patanjali Ayurve...,4.0,(1.7k Reviews),Private,"Haridwar,Uttarakhand + 218 more",16 years old,5k-10k Employees (India)
4,Kotak Mahindara ...,3.9,(1.7k Reviews),Public,"Mumbai,Maharashtra + 165 more",21 years old,10k-50k Employees (India)
5,IndiGo,3.5,(1.7k Reviews),Private,"Boston,Massachusetts + 71 more",17 years old,10k-50k Employees (India)
6,Biocon Biologics...,3.9,(1.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 55 more",44 years old,10k-50k Employees (India)
7,Apollo Tyres,4.2,(2.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 130 more",50 years old,5k-10k Employees (India)
8,HDFC Ergo Genera...,4.0,(1.7k Reviews),Public,"Mumbai,Maharashtra + 178 more",20 years old,5k-10k Employees (India)
9,Berger Paints,3.8,(1.8k Reviews),Public,"Kolkata,West Bengal + 182 more",99 years old,1k-5k Employees (India)
10,Radisson Hotels,3.9,(1.7k Reviews),Private,"Minnetonka,Minnesota + 89 more",113 years old,10k-50k Employees (India)
11,Utkarsh Small Fi...,3.9,(1.7k Reviews),Public,"Varanasi,Uttar Pradesh + 218 more",13 years old,10k-50k Employees (India)
12,JK Cement,4.2,(1.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 183 more",48 years old,1k-5k Employees (India)
13,Ola Cabs,3.4,(2.5k Reviews),Private,Bangalore + 85 more,12 years old,10k-50k Employees (India)
14,GeBBS Healthcare...,3.8,(1.6k Reviews),Private,"Culver City,California + 11 more",17 years old,5k-10k Employees (India)
15,PolicyBazaar,3.6,(1.6k Reviews),Public,"Gurgaon,Haryana + 33 more",14 years old,5k-10k Employees (India)
16,Cogent E Service...,3.4,(1.6k Reviews),Private,"Noida,Uttar Pradesh + 26 more",18 years old,10k-50k Employees (India)
17,Landmark Group,4.2,(5k Reviews),Private,"Dubai Marina,Dubai + 107 more",49 years old,1k-5k Employees (India)
18,Eureka Forbes,4.0,(1.6k Reviews),Private,"Mumbai,Maharashtra + 147 more",40 years old,5k-10k Employees (India)
19,Aarti Industries,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 34 more",47 years old,5k-10k Employees (India)
20,Max Healthcare,4.1,(1.7k Reviews),Partnership,"Delhi/NCR,New Delhi + 51 more",21 years old,1k-5k Employees (India)
21,Aakash Institute,3.7,(1.9k Reviews),Private,"New Delhi,Delhi + 141 more",34 years old,1k-5k Employees (India)
22,Lifestyle,4.4,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 91 more",23 years old,10k-50k Employees (India)
23,Persistent Syste...,4.1,(1.6k Reviews),Public,"Pune,Maharashtra + 10 more",32 years old,10k-50k Employees (India)
24,Nestle,4.1,(1.8k Reviews),Public,Vevey + 185 more,63 years old,10k-50k Employees (India)
25,Reliance Digital,4.3,(1.6k Reviews),Private,"Mumbai,Maharashtra + 223 more",15 years old,5k-10k Employees (India)
26,Tata AIG,4.1,(1.6k Reviews),Private,"Mumbai,Maharashtra + 184 more",22 years old,5k-10k Employees (India)
27,R1 RCM,4.0,(1.6k Reviews),Private,"Murray,Utah + 15 more",19 years old,5k-10k Employees (India)
28,Escorts Group,4.2,(1.8k Reviews),Public,"Faridabad,Haryana + 97 more",62 years old,10k-50k Employees (India)
29,JMC Projects,4.3,(1.6k Reviews),Public,"Mumbai,Maharashtra + 98 more",40 years old,1k-5k Employees (India)
0,Blue Dart Expres...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 191 more",39 years old,10k-50k Employees (India)
1,AFCONS Infrastru...,4.4,(1.6k Reviews),Partnership,"Mumbai,Maharashtra + 71 more",63 years old,1k-5k Employees (India)
2,Mankind Pharma,4.2,(1.8k Reviews),Private,"New Delhi,Delhi + 149 more",27 years old,5k-10k Employees (India)
3,HCL Infosystems,3.9,(1.6k Reviews),Public,"Noida,Uttar Pradesh + 105 more",46 years old,10k-50k Employees (India)
4,Pfizer,4.2,(5k Reviews),Public,"Chennai,Tamil Nadu + 102 more",18 years old,5k-10k Employees (India)
5,Life Insurance C...,4.3,(1.5k Reviews),Private,Mumbai + 358 more,66 years old,1 Lakh+ Employees (India)
6,Access Healthcar...,4.0,(1.5k Reviews),Private,"Dallas,Texas + 15 more",11 years old,1k-5k Employees (India)
7,Voltas,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 139 more",68 years old,5k-10k Employees (India)
8,I Process Servic...,4.0,(1.5k Reviews),Private,"Mumbai,Maharashtra + 220 more",17 years old,1k-5k Employees (India)
9,Paras Hospital,4.7,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 24 more",16 years old,1k-5k Employees (India)
10,Delhi Public Sch...,3.9,(1.5k Reviews),Public,"Greater Noida,Uttar Pradesh + 211 more",24 years old,1k-5k Employees (India)
11,Zensar Technolog...,3.9,(1.5k Reviews),Public,"Pune,Maharashtra + 18 more",21 years old,5k-10k Employees (India)
12,Birla Sun Life I...,4.2,(1.5k Reviews),Private,"Mumbai,Maharashtra + 287 more",22 years old,10k-50k Employees (India)
13,G4S,4.1,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 105 more",26 years old,1 Lakh+ Employees (India)
14,Walmart,4.2,(13.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 72 more",13 years old,5k-10k Employees (India)
15,Exide Industries,3.7,(1.6k Reviews),Public,"Kolkata,West Bengal + 165 more",75 years old,1k-5k Employees (India)
16,Aditya Birla Gro...,4.2,(16.1k Reviews),"Mumbai,Maharashtra + 193 more",165 years old,50k-1 Lakh Employees (India),
17,Statestreet HCL ...,3.4,(1.5k Reviews),Private,New Delhi + 11 more,10 years old,5k-10k Employees (India)
18,Fiserv,3.9,(1.5k Reviews),Private,"Brookfield,Wisconsin + 23 more",38 years old,5k-10k Employees (India)
19,Birlasoft,3.8,(1.5k Reviews),Public,"Pune,Maharashtra + 26 more",27 years old,10k-50k Employees (India)
20,Raymond,4.0,(1.8k Reviews),Public,New York + 108 more,97 years old,5k-10k Employees (India)
21,United Phosphoru...,4.3,(1.5k Reviews),Public,"Mumbai,Maharashtra + 111 more",53 years old,5k-10k Employees (India)
22,Samsung Electron...,4.2,(1.5k Reviews),Noida + 170 more,,,
23,Lenskart,3.1,(1.5k Reviews),Private,"Faridabad,Haryana + 109 more",12 years old,1k-5k Employees (India)
24,ACT Fibernet,4.1,(1.5k Reviews),Private,"Bengaluru/Bangalore,Karnataka + 34 more",22 years old,5k-10k Employees (India)
25,PepsiCo,4.2,(1.5k Reviews),Private,"Harrison,New York + 179 more",33 years old,1 Lakh+ Employees (India)
26,AGS Health,4.1,(1.4k Reviews),Private,Washington DC + 24 more,11 years old,5k-10k Employees (India)
27,R.R. Donnelley,4.1,(1.4k Reviews),Private,"Chicago,Illinois + 9 more",158 years old,5k-10k Employees (India)
28,Micro Labs,3.8,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 97 more",49 years old,10k-50k Employees (India)
29,PVR Cinemas,4.2,(1.4k Reviews),Public,Gurgaon + 88 more,25 years old,5k-10k Employees (India)
0,BHEL,4.2,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 87 more",58 years old,10k-50k Employees (India)
1,Legato Health Te...,4.1,(1.4k Reviews),LLP,"Bangalore/Bengaluru,Karnataka + 8 more",5 years old,5k-10k Employees (India)
2,HDFC Sales,4.0,(1.4k Reviews),Private,"Mumbai,Maharashtra + 224 more",18 years old,10k-50k Employees (India)
3,Tata Technologie...,3.6,(1.4k Reviews),Private,Singapore + 34 more,33 years old,5k-10k Employees (India)
4,TVS Supply Chain...,4.0,(1.6k Reviews),"Chennai,Tamil Nadu + 110 more",126 years old,1k-5k Employees (India),
5,Ajanta Pharma,4.0,(1.4k Reviews),Public,"Mumbai,Maharashtra + 81 more",49 years old,1k-5k Employees (India)
6,Poonawalla Finco...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 241 more",34 years old,5k-10k Employees (India)
7,Cholamandalam MS...,4.0,(1.4k Reviews),JV,"Chennai,Tamil Nadu + 269 more",21 years old,50k-1 Lakh Employees (India)
8,Blue Star,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 105 more",79 years old,1k-5k Employees (India)
9,Renault-Nissan,4.1,(1.4k Reviews),Private,"Chennai,Tamil Nadu + 64 more",12 years old,10k-50k Employees (India)
10,Mahindra Holiday...,3.7,(1.4k Reviews),Private,"Chennai,Tamil Nadu + 86 more",26 years old,5k-10k Employees (India)
11,NIIT Technologie...,3.5,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 76 more",18 years old,5k-10k Employees (India)
12,Britannia,4.1,(1.4k Reviews),Public,"Reading,Reading + 169 more",130 years old,5k-10k Employees (India)
13,The Himalaya Dru...,4.2,(1.4k Reviews),Private,"San Francisco,California + 151 more",92 years old,1k-5k Employees (India)
14,Johnson Controls,4.0,(2.3k Reviews),Public,Cork + 51 more,27 years old,5k-10k Employees (India)
15,Sonalika Tractor...,3.8,(1.4k Reviews),Private,"Hoshiarpur,Punjab + 121 more",53 years old,1k-5k Employees (India)
16,Extramarks Educa...,3.8,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 91 more",15 years old,1k-5k Employees (India)
17,Emcure Pharmaceu...,4.0,(1.4k Reviews),Private,Pune + 79 more,41 years old,5k-10k Employees (India)
18,Dalmia Bharat Ce...,4.1,(1.4k Reviews),Public,"Delhi/NCR,New Delhi + 135 more",87 years old,5k-10k Employees (India)
19,Societe Generale,3.8,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",22 years old,1k-5k Employees (India)
20,Bajaj Allianz Ge...,4.3,(1.4k Reviews),Pune + 158 more,,,
21,Exide Life Insur...,3.7,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 187 more",21 years old,1k-5k Employees (India)
22,Mahindra Rural H...,4.2,(1.3k Reviews),Public,"Mumbai,Maharashtra + 310 more",15 years old,5k-10k Employees (India)
23,Reliance SMSL,4.1,(1.3k Reviews),Public,Mumbai + 346 more,15 years old,1k-5k Employees (India)
24,Sterling & Wilso...,4.2,(1.3k Reviews),Private,Mumbai + 66 more,95 years old,5k-10k Employees (India)
25,TVS Sundram Fast...,3.9,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 34 more",56 years old,1k-5k Employees (India)
26,UNO Minda,4.1,(1.4k Reviews),Gurgaon + 63 more,64 years old,1k-5k Employees (India),
27,Tech Mahindra Bu...,3.5,(1.3k Reviews),Public,"Mumbai,Maharashtra + 32 more",19 years old,1k-5k Employees (India)
28,Yazaki,3.9,(1.3k Reviews),Private,"Tokyo,Tokyo + 47 more",81 years old,10k-50k Employees (India)
29,Shahi Exports,4.1,(1.4k Reviews),Private,"Faridabad,Haryana + 47 more",48 years old,1 Lakh+ Employees (India)
0,Ambuja Cements,4.0,(1.3k Reviews),Public,"Mumbai,Maharashtra + 164 more",39 years old,5k-10k Employees (India)
1,Big Bazaar,4.3,(1.3k Reviews),Private,"Mumbai,Maharashtra + 147 more",21 years old,10k-50k Employees (India)
2,IGT Solutions,3.6,(1.3k Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",24 years old,5k-10k Employees (India)
3,café Coffee day,4.1,(1.3k Reviews),Private,"Bengaluru,Karnataka + 81 more",26 years old,10k-50k Employees (India)
4,Bhushan Power & ...,3.9,(1.3k Reviews),Private,"Delhi/NCR,New Delhi + 47 more",52 years old,10k-50k Employees (India)
5,Shriram City,4.1,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 356 more",36 years old,10k-50k Employees (India)
6,Force Motors,3.4,(1.3k Reviews),Public,"Pune,Maharashtra + 73 more",64 years old,1k-5k Employees (India)
7,Indian Navy,4.7,(1.3k Reviews),Private,"Delhi/NCR,Delhi + 56 more",72 years old,50k-1 Lakh Employees (India)
8,Honda,4.2,(4.5k Reviews),Private,"Greater Noida,Uttar Pradesh + 177 more",37 years old,10k-50k Employees (India)
9,V-Mart,4.4,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 198 more",20 years old,5k-10k Employees (India)
10,DS Group,4.1,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 128 more",93 years old,1k-5k Employees (India)
11,Indus Towers,4.0,(1.3k Reviews),Private,"Gurgaon,Haryana + 100 more",15 years old,5k-10k Employees (India)
12,Brakes India,4.2,(1.3k Reviews),Partnership,"Chennai,Tamil Nadu + 56 more",60 years old,1k-5k Employees (India)
13,TVS Credit,4.3,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 204 more",14 years old,10k-50k Employees (India)
14,CG Power and Ind...,3.8,(1.3k Reviews),Public,"Mumbai,Maharashtra + 88 more",85 years old,1k-5k Employees (India)
15,Parle Agro,4.3,(1.3k Reviews),Private,"Mumbai,Maharashtra + 136 more",38 years old,1k-5k Employees (India)
16,State Street Cor...,3.8,(1.5k Reviews),Private,"Boston,Massachusetts + 12 more",230 years old,10k-50k Employees (India)
17,Sobha,4.0,(1.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 32 more",27 years old,1k-5k Employees (India)
18,BlackBuck,4.0,(1.3k Reviews),Private,"Bangalore,Karnataka + 202 more",7 years old,1k-5k Employees (India)
19,Datamatics Globa...,3.7,(1.7k Reviews),Public,Mumbai + 22 more,47 years old,1k-5k Employees (India)
20,Shree Cement,4.3,(1.3k Reviews),Public,"Kolkata,West Bengal + 139 more",43 years old,5k-10k Employees (India)
21,JK Tyres,3.9,(1.3k Reviews),Private,New Delhi + 110 more,71 years old,1k-5k Employees (India)
22,Thomson Reuters,4.3,(1.3k Reviews),Private,Toronto + 18 more,14 years old,5k-10k Employees (India)
23,Whirlpool,4.2,(1.3k Reviews),Public,Michigan + 111 more,111 years old,5k-10k Employees (India)
24,Reliance Trends,4.3,(1.3k Reviews),Private,"Navi Mumbai,Maharashtra + 253 more",16 years old,1 Lakh+ Employees (India)
25,Myntra,4.2,(1.4k Reviews),Private,"Bangalore,Karnataka + 83 more",15 years old,5k-10k Employees (India)
26,3i Infotech,3.6,(1.3k Reviews),Public,"Mumbai,Maharashtra + 84 more",29 years old,5k-10k Employees (India)
27,Wockhardt,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 68 more",23 years old,5k-10k Employees (India)
28,GVK Emergency Ma...,3.8,(1.2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 108 more",17 years old,10k-50k Employees (India)
29,Indiabulls,3.7,(4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 141 more",22 years old,10k-50k Employees (India)
0,Lodha group,4.2,(1.2k Reviews),Private,"Mumbai,Maharashtra + 18 more",42 years old,1k-5k Employees (India)
1,Bharti AXA Life ...,3.9,(1.2k Reviews),Private,Mumbai + 196 more,16 years old,5k-10k Employees (India)
2,Grasim Industrie...,4.2,(6.5k Reviews),Public,Nagda + 51 more,75 years old,10k-50k Employees (India)
3,Sterlite Technol...,4.2,(1.2k Reviews),Public,"Pune,Maharashtra + 53 more",34 years old,5k-10k Employees (India)
4,IKS Health,3.5,(1.2k Reviews),Private,"Mumbai,Maharashtra + 9 more",15 years old,1k-5k Employees (India)
5,Tata Motors Fina...,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 201 more",65 years old,1k-5k Employees (India)
6,Delphi TVS,4.0,(1.2k Reviews),Private,"Kanchipuram,Tamil Nadu + 24 more",33 years old,1k-5k Employees (India)
7,ICICI Securities,3.7,(1.2k Reviews),Public,"Mumbai,Maharashtra + 102 more",27 years old,5k-10k Employees (India)
8,Mahindra Logisti...,4.1,(1.2k Reviews),Public,"Mumbai,Maharashtra + 90 more",22 years old,1k-5k Employees (India)
9,BT Group,4.3,(2.5k Reviews),Private,London + 13 more,176 years old,10k-50k Employees (India)
10,Synechron,4.2,(1.6k Reviews),Private,"New York,New York + 13 more",21 years old,5k-10k Employees (India)
11,Info Edge,4.0,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 55 more",27 years old,1k-5k Employees (India)
12,SRF,4.3,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 39 more",52 years old,1k-5k Employees (India)
13,GE,4.2,(3.2k Reviews),Private,"Boston,Massachusetts + 53 more",130 years old,10k-50k Employees (India)
14,Endurance Techno...,3.8,(1.2k Reviews),Public,"Aurangabad,Maharashtra + 29 more",37 years old,1k-5k Employees (India)
15,Kansai Nerolac P...,3.9,(1.2k Reviews),Public,"Mumbai,Maharashtra + 122 more",102 years old,1k-5k Employees (India)
16,Gabriel India,4.3,(1.2k Reviews),Public,"Pune,Maharashtra + 32 more",61 years old,1k-5k Employees (India)
17,JCB,4.0,(1.2k Reviews),Private,"Rocester,Staffordshire + 72 more",77 years old,1k-5k Employees (India)
18,Future Generali ...,3.9,(1.2k Reviews),Private,Mumbai + 144 more,15 years old,1k-5k Employees (India)
19,Sopra Steria,4.2,(1.3k Reviews),Private,"Paris,Ile-de-France + 9 more",54 years old,5k-10k Employees (India)
20,Bharat Petroleum,4.1,(1.2k Reviews),Private,"Mumbai,Maharashtra + 183 more",70 years old,50k-1 Lakh Employees (India)
21,Kalpataru Power ...,4.2,(2.8k Reviews),Public,"Mumbai,Maharashtra + 143 more",41 years old,1k-5k Employees (India)
22,Blinkit,3.8,(1.2k Reviews),Private,"Gurgaon,Haryana + 51 more",9 years old,5k-10k Employees (India)
23,AXA Business Ser...,3.9,(1.2k Reviews),Private,Paris + 4 more,27 years old,1k-5k Employees (India)
24,Cadila Pharmaceu...,3.7,(1.2k Reviews),Public,"Ahmedabad,Gujrat + 97 more",71 years old,5k-10k Employees (India)
25,Barclays,4.2,(2.8k Reviews),Private,London + 22 more,332 years old,10k-50k Employees (India)
26,Cybage,4.0,(1.2k Reviews),Private,"Pune,Maharashtra + 5 more",27 years old,5k-10k Employees (India)
27,Shell,4.4,(1.3k Reviews),Public,"London,England + 72 more",18 years old,10k-50k Employees (India)
28,Yamaha Motor,3.9,(1.3k Reviews),Private,"Iwata,Shizuoka + 108 more",15 years old,1k-5k Employees (India)
29,CSS Corp,3.7,(1.2k Reviews),Private,"San Jose,California + 20 more",26 years old,5k-10k Employees (India)
0,Parle Products,4.0,(1.2k Reviews),Private,Mumbai + 144 more,93 years old,50k-1 Lakh Employees (India)
1,Cromā,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 82 more",16 years old,1k-5k Employees (India)
2,XpressBees,4.0,(1.2k Reviews),Private,"Pune,Maharashtra + 173 more",7 years old,1k-5k Employees (India)
3,Lucas-TVS,4.0,(1.4k Reviews),Private,"Chennai,Tamil Nadu + 47 more",61 years old,5k-10k Employees (India)
4,Sigma Electric M...,3.9,(1.2k Reviews),Private,"Garner,North Carolina + 18 more",40 years old,1k-5k Employees (India)
5,Power Mech Proje...,3.8,(1.2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 90 more",15 years old,1k-5k Employees (India)
6,BA Continuum,4.4,(1.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",19 years old,10k-50k Employees (India)
7,Tata Capital Fin...,4.2,(1.2k Reviews),Public,Mumbai + 124 more,15 years old,1k-5k Employees (India)
8,Oberoi Group of ...,4.2,(1.2k Reviews),Private,"Delhi/NCR,Delhi + 31 more",88 years old,1k-5k Employees (India)
9,Coromandel Inter...,4.2,(1.2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 127 more",61 years old,5k-10k Employees (India)
10,Bureau Veritas,4.0,(1.2k Reviews),Private,La Défense + 74 more,194 years old,1k-5k Employees (India)
11,ValueLabs,3.8,(1.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",25 years old,5k-10k Employees (India)
